T_ID,Departuretraine,Departure_Time,Traine_Duration_Minutes,train_Status,Distance_Miles,Travel_Purpose,Seat_Class,train_Satisfaction_Score,Delay_Minutes,No_Show,Weather_Impact
F755,Farakka Express,11/26/2024 1:54,127,On-time,1583,Family,Premium Economy,6.3,2,0,0
F1894,Sushasan Express  ,12/31/2024 5:36,179,On-time,1083,Family,Premium Economy,7.8,2,0,0
F950,NDLS–LKO AC SF Express  ,01-12-2024 10:49,122,On-time,1322,Business,Premium Economy,5.3,5,0,1
F1048,Anand Vihar–Kamakhya Express  ,11/25/2024 6:40,228,Delayed,1423,Leisure,Economy,5.4,0,0,0
F171,Katihar–Amritsar Express  ,6/27/2024 12:05,107,On-time,930,Leisure,Business,4.5,9,0,0
F1043,Ranikhet Express  ,01-08-2025 11:13,113,On-time,1243,Leisure,Economy,8.4,40,0,0
F1540,Purushottam Express  ,6/28/2024 13:20,142,On-time,1965,Business,Premium Economy,5.5,5,0,0
F1350,Brahmaputra Mail  ,02-12-2024 21:24,176,On-time,1641,Emergency,Economy,6.8,2,0,0
F1777,Sushasan Express  ,03-04-2024 06:41,242,On-time,789,Business,Economy,7.2,17,0,0
F1702,NDLS–LKO AC SF Express  ,3/25/2024 2:36,199,On-time,1416,Emergency,Premium Economy,5.2,20,0,0
F1170,Anand Vihar–Kamakhya Express  ,01-09-2024 05:50,151,Delayed,1182,Business,Business,6.3,19,0,0
F774,Katihar–Amritsar Express  ,11-07-2024 10:08,197,On-time,1926,Leisure,Economy,8.4,48,0,0
F597,Ranikhet Express  ,11-10-2024 16:22,162,On-time,1551,Family,Premium Economy,8.3,0,0,0
F647,Purushottam Express  ,06-02-2023 01:43,225,On-time,1332,Leisure,Economy,9,4,0,1
F415,Brahmaputra Mail  ,9/20/2023 17:29,190,On-time,695,Family,Premium Economy,5.9,2,0,0
F1814,Kalindi Express  ,04-11-2024 09:53,175,On-time,1154,Family,Economy,5.9,13,0,0
F1665,Farakka Express,9/25/2023 5:11,131,Delayed,1097,Leisure,Economy,8.3,4,0,0
F1791,Sushasan Express  ,8/27/2024 22:42,119,On-time,769,Leisure,Economy,4.4,4,0,1
F1890,NDLS–LKO AC SF Express  ,4/30/2024 12:50,201,On-time,1016,Business,Economy,9.2,14,0,0
F864,Anand Vihar–Kamakhya Express  ,2/22/2024 6:43,257,On-time,744,Business,Economy,9.1,4,0,0
F1170,Katihar–Amritsar Express  ,4/13/2025 8:41,231,On-time,1125,Leisure,Economy,7.2,5,0,0
F676,Ranikhet Express  ,7/18/2023 23:20,131,Cancelled,946,Emergency,Economy,6.2,1,0,0
F1054,Purushottam Express  ,11-01-2023 17:44,188,On-time,1276,Business,Economy,6.3,4,0,0
F1249,Brahmaputra Mail  ,06-12-2023 22:19,218,On-time,939,Family,Premium Economy,7,9,0,0
F954,Sushasan Express  ,10-11-2024 07:06,246,On-time,1769,Leisure,Economy,10,4,0,1
F1364,NDLS–LKO AC SF Express  ,1/27/2025 19:17,175,On-time,1057,Emergency,Business,7.1,27,0,0
F828,Anand Vihar–Kamakhya Express  ,3/30/2024 9:04,89,Cancelled,1164,Business,Premium Economy,7.3,11,0,1
F1229,Katihar–Amritsar Express  ,9/30/2024 11:24,278,Delayed,985,Leisure,Premium Economy,5.3,38,0,0
F1717,Ranikhet Express  ,06-09-2024 08:34,213,On-time,1294,Business,Economy,8.5,8,0,0
F1444,Purushottam Express  ,01-11-2024 09:30,205,On-time,1240,Family,Economy,6.1,6,0,0
F1844,Brahmaputra Mail  ,07-09-2023 13:15,123,On-time,1271,Business,Economy,7,12,0,0
F1665,Kalindi Express  ,02-08-2025 11:19,123,On-time,1547,Emergency,Economy,7.7,2,0,0
F1876,Farakka Express,8/15/2023 9:06,202,On-time,1043,Family,Business,5.4,0,0,0
F871,Sushasan Express  ,9/17/2024 1:23,78,On-time,1156,Emergency,Economy,8.2,18,0,1
F1043,NDLS–LKO AC SF Express  ,09-09-2024 03:19,224,On-time,1052,Emergency,Premium Economy,7.6,19,0,0
F1856,Anand Vihar–Kamakhya Express  ,04-05-2024 06:19,220,On-time,1154,Business,Economy,4.8,10,0,0
F636,Katihar–Amritsar Express  ,2/15/2025 22:43,173,On-time,1277,Business,Economy,4.9,5,0,0
F1282,Ranikhet Express  ,9/15/2023 14:27,197,On-time,642,Family,Premium Economy,4.9,6,0,0
F936,Purushottam Express  ,10/23/2024 13:33,188,Delayed,1180,Business,Economy,10,6,0,0
F578,Brahmaputra Mail  ,09-07-2023 01:00,216,On-time,1255,Business,Premium Economy,7.8,10,0,0
F48,Sushasan Express  ,12/21/2024 3:25,109,Delayed,1168,Family,Business,2.4,6,0,0
F441,NDLS–LKO AC SF Express  ,10/16/2023 16:17,161,On-time,850,Emergency,Premium Economy,6.1,15,0,0
F1214,Anand Vihar–Kamakhya Express  ,1/19/2024 7:43,234,On-time,1099,Business,Economy,7.3,5,0,1
F840,Katihar–Amritsar Express  ,4/14/2025 8:56,217,On-time,1521,Emergency,Economy,7,2,0,0
F1949,Ranikhet Express  ,07-10-2024 18:33,138,On-time,1463,Emergency,Business,3.6,7,0,0
F315,Purushottam Express  ,4/26/2023 19:37,135,Delayed,1243,Emergency,Economy,5.3,10,0,0
F502,Brahmaputra Mail  ,04-01-2025 00:55,138,On-time,1739,Business,Economy,7.6,20,1,0
F1666,Kalindi Express  ,7/15/2024 17:40,149,On-time,1515,Leisure,Economy,7.7,24,0,0
F1726,Farakka Express,11/29/2024 11:02,88,On-time,1327,Family,Business,7.7,28,0,0
F1771,Sushasan Express  ,4/23/2024 22:26,247,On-time,1512,Leisure,Economy,6.7,1,0,0
F1595,NDLS–LKO AC SF Express  ,6/13/2024 12:23,180,On-time,1335,Emergency,Business,8.3,4,0,0
F1313,Anand Vihar–Kamakhya Express  ,2/16/2024 8:00,92,On-time,768,Business,Premium Economy,7.8,11,0,1
F1853,Katihar–Amritsar Express  ,1/17/2025 12:13,134,On-time,1429,Leisure,Economy,7,4,0,1
F1495,Ranikhet Express  ,11/17/2024 6:48,166,On-time,1113,Business,Economy,9,5,0,0
F1694,Purushottam Express  ,09-11-2023 14:50,238,On-time,1314,Business,Business,8,4,1,1
F1706,Brahmaputra Mail  ,4/16/2024 6:30,203,On-time,1398,Leisure,Premium Economy,8.3,4,0,1
F1119,Sushasan Express  ,02-01-2024 12:51,118,On-time,1057,Leisure,Premium Economy,7.7,15,0,0
F1017,NDLS–LKO AC SF Express  ,10/14/2024 4:47,200,On-time,822,Business,First,6.8,11,0,0
F1120,Anand Vihar–Kamakhya Express  ,3/27/2025 23:33,235,On-time,1170,Family,Premium Economy,10,5,0,0
F1347,Katihar–Amritsar Express  ,06-02-2023 13:11,181,On-time,679,Family,Economy,4.5,7,0,0
F1537,Ranikhet Express  ,02-06-2024 19:16,249,On-time,1363,Family,Business,8.8,2,0,0
F1617,Purushottam Express  ,3/20/2025 22:09,340,On-time,1097,Emergency,Business,6.5,3,0,0
F187,Brahmaputra Mail  ,04-02-2025 00:32,207,On-time,1050,Emergency,Business,8.9,16,0,0
F1585,Kalindi Express  ,08-09-2023 23:21,199,On-time,1122,Leisure,Economy,7.5,3,0,0
F1041,Farakka Express,6/26/2024 2:22,211,On-time,1231,Business,Premium Economy,7,4,0,0
F346,Sushasan Express  ,12-02-2023 12:16,162,On-time,1364,Family,Economy,8.4,20,0,0
F931,NDLS–LKO AC SF Express  ,4/30/2024 19:01,174,On-time,1047,Family,Economy,7.3,4,0,0
F1337,Anand Vihar–Kamakhya Express  ,10/21/2024 14:22,226,On-time,1336,Emergency,Economy,5.2,14,0,0
F247,Katihar–Amritsar Express  ,01-10-2025 02:28,84,On-time,1182,Family,Economy,5.1,7,0,0
F1590,Ranikhet Express  ,11/25/2023 17:16,208,On-time,1399,Emergency,Economy,5.9,0,0,0
F1754,Purushottam Express  ,12/30/2023 12:47,105,On-time,1466,Business,Economy,9.2,8,0,0
F1595,Brahmaputra Mail  ,12/19/2024 14:38,168,Delayed,734,Business,Economy,7.7,0,0,0
F664,Sushasan Express  ,6/26/2023 4:18,147,On-time,1236,Family,Premium Economy,8.2,3,0,1
F114,NDLS–LKO AC SF Express  ,05-09-2023 22:52,139,On-time,1163,Emergency,Economy,6,3,0,0
F43,Anand Vihar–Kamakhya Express  ,10-11-2024 05:41,189,On-time,1080,Business,Economy,5.6,1,0,0
F113,Katihar–Amritsar Express  ,4/15/2024 2:54,225,Cancelled,996,Family,Economy,5.1,10,0,0
F91,Ranikhet Express  ,01-02-2025 00:45,252,On-time,1282,Business,Economy,8.3,19,0,0
F781,Purushottam Express  ,1/17/2024 8:00,284,On-time,1150,Family,Economy,6.9,4,0,0
F1518,Brahmaputra Mail  ,8/30/2023 4:11,204,On-time,1847,Leisure,First,7.7,5,0,0
F1448,Kalindi Express  ,02-09-2025 21:30,170,Delayed,811,Emergency,Business,8.3,27,0,1
F1253,Farakka Express,05-05-2023 19:11,148,On-time,1371,Business,Economy,7.8,1,0,0
F1481,Sushasan Express  ,06-08-2023 01:27,163,On-time,2131,Family,Economy,6.9,37,0,0
F1580,NDLS–LKO AC SF Express  ,2/14/2024 9:15,197,On-time,1414,Family,Premium Economy,5.3,3,0,1
F429,Anand Vihar–Kamakhya Express  ,4/13/2024 17:53,200,On-time,1436,Emergency,Economy,8.1,2,0,0
F1909,Katihar–Amritsar Express  ,2/27/2025 10:28,49,On-time,1449,Emergency,Premium Economy,7.7,9,0,0
F395,Ranikhet Express  ,12/26/2023 7:38,86,On-time,1609,Family,Economy,6.4,1,0,0
F797,Purushottam Express  ,5/22/2024 7:26,38,Cancelled,1636,Emergency,Business,7.8,19,0,1
F164,Brahmaputra Mail  ,7/17/2024 4:09,108,On-time,1458,Emergency,Economy,8,9,0,0
F860,Sushasan Express  ,9/18/2024 8:33,254,On-time,1049,Emergency,Economy,7.4,0,0,0
F1324,NDLS–LKO AC SF Express  ,4/17/2025 0:10,201,On-time,1340,Family,Economy,6.3,30,0,0
F833,Anand Vihar–Kamakhya Express  ,10/15/2024 11:33,163,Delayed,866,Business,Business,6.9,36,0,0
F102,Katihar–Amritsar Express  ,9/30/2023 15:17,89,Delayed,1806,Family,First,6.4,10,0,0
F1414,Ranikhet Express  ,4/30/2023 17:50,115,Delayed,1075,Family,Economy,7.6,2,0,1
F1749,Purushottam Express  ,05-11-2024 03:20,215,On-time,981,Family,Business,4.8,23,0,0
F675,Brahmaputra Mail  ,9/25/2023 14:50,205,On-time,1474,Emergency,Economy,7,20,0,0
F1946,Kalindi Express  ,02-06-2025 14:19,191,Cancelled,1492,Emergency,Economy,7.1,43,0,0
F1701,Farakka Express,11-06-2024 16:32,154,On-time,1233,Family,Economy,7.3,6,0,0
F1813,Sushasan Express  ,3/24/2025 6:28,181,On-time,1661,Leisure,Economy,6.7,7,0,0
F143,NDLS–LKO AC SF Express  ,1/18/2025 13:41,196,On-time,1005,Family,Economy,10,16,0,0
F1898,Anand Vihar–Kamakhya Express  ,02-07-2024 07:45,132,On-time,1200,Emergency,Economy,6.9,5,0,0
F1714,Katihar–Amritsar Express  ,01-01-2024 14:45,232,On-time,1015,Emergency,Economy,7.3,11,1,0
F1449,Ranikhet Express  ,08-06-2024 00:23,264,Delayed,741,Emergency,Premium Economy,6,1,0,0
F1679,Purushottam Express  ,04-02-2025 10:29,134,Delayed,1458,Emergency,Premium Economy,5.2,1,0,0
F1464,Brahmaputra Mail  ,9/27/2024 14:06,155,On-time,810,Business,First,6.5,6,0,0
F1478,Sushasan Express  ,06-12-2023 06:23,55,On-time,986,Leisure,Economy,6.7,4,0,1
F1809,NDLS–LKO AC SF Express  ,06-06-2023 12:25,263,On-time,1134,Business,First,7.6,15,0,0
F1327,Anand Vihar–Kamakhya Express  ,07-06-2023 09:01,290,On-time,1272,Leisure,Economy,8.6,1,0,0
F1123,Katihar–Amritsar Express  ,12/26/2023 1:57,126,On-time,1279,Emergency,Economy,2.9,6,0,0
F66,Ranikhet Express  ,11-01-2024 12:54,101,On-time,850,Business,Premium Economy,7.8,22,1,0
F1966,Purushottam Express  ,10/16/2023 6:18,302,Delayed,1228,Leisure,Business,8.6,3,0,0
F645,Brahmaputra Mail  ,7/19/2024 16:11,165,On-time,1824,Leisure,Economy,9.8,1,0,0
F1291,Kalindi Express  ,3/30/2025 1:21,100,Delayed,1074,Emergency,Economy,6.2,0,0,0
F176,Farakka Express,10-09-2024 00:29,171,On-time,1394,Leisure,Economy,5.2,17,0,0
F1039,Sushasan Express  ,1/26/2024 2:37,229,On-time,1089,Business,Business,10,12,0,0
F1977,NDLS–LKO AC SF Express  ,4/19/2024 5:43,125,On-time,1171,Family,Business,6.8,13,0,1
F609,Anand Vihar–Kamakhya Express  ,9/26/2023 13:34,224,On-time,1169,Business,Economy,4,3,0,0
F911,Katihar–Amritsar Express  ,1/28/2024 3:04,239,Delayed,1918,Emergency,Economy,8.9,5,0,0
F1215,Ranikhet Express  ,8/30/2023 3:47,188,On-time,1341,Business,Economy,9.4,7,0,0
F235,Purushottam Express  ,10/23/2023 22:03,180,On-time,1421,Business,Business,7.8,13,0,0
F735,Brahmaputra Mail  ,08-04-2023 06:56,138,On-time,1146,Family,Economy,7.6,30,0,0
F1348,Sushasan Express  ,07-10-2023 17:22,136,On-time,1075,Family,Premium Economy,5.8,15,0,0
F994,NDLS–LKO AC SF Express  ,12-12-2024 20:15,149,On-time,1384,Emergency,Economy,6.6,24,0,0
F281,Anand Vihar–Kamakhya Express  ,04-03-2025 00:40,230,On-time,815,Business,Economy,5,9,0,1
F134,Katihar–Amritsar Express  ,12/25/2024 23:39,200,Delayed,1254,Family,Economy,5.4,7,0,0
F1618,Ranikhet Express  ,11/18/2023 21:34,157,On-time,1072,Family,Economy,6.4,10,0,0
F495,Purushottam Express  ,10/14/2024 10:51,242,On-time,1049,Business,Business,7.5,3,0,1
F799,Brahmaputra Mail  ,11-12-2023 21:50,196,On-time,962,Emergency,Economy,7.1,21,0,0
F653,Kalindi Express  ,7/30/2024 7:36,155,On-time,1344,Emergency,Business,10,14,1,0
F1246,Farakka Express,8/17/2023 1:01,185,On-time,1018,Emergency,Premium Economy,10,17,0,0
F1464,Sushasan Express  ,12-09-2023 14:44,152,On-time,1445,Business,Economy,8.5,9,0,0
F1266,NDLS–LKO AC SF Express  ,9/14/2023 16:27,185,On-time,609,Business,Economy,6.3,14,0,1
F1002,Anand Vihar–Kamakhya Express  ,10/18/2024 7:58,353,Delayed,1016,Business,Economy,6.7,4,0,0
F1916,Katihar–Amritsar Express  ,08-11-2023 11:52,166,On-time,1174,Leisure,Premium Economy,4.7,1,0,0
F1476,Ranikhet Express  ,7/22/2024 20:02,84,On-time,1168,Leisure,Business,7.6,51,0,0
F677,Purushottam Express  ,08-05-2023 18:41,243,On-time,1888,Emergency,Economy,9.3,1,0,0
F1138,Brahmaputra Mail  ,2/14/2024 2:06,234,On-time,1268,Family,Premium Economy,7.2,2,0,0
F1377,Sushasan Express  ,12-03-2023 11:04,111,Delayed,1332,Business,Economy,10,6,0,0
F22,NDLS–LKO AC SF Express  ,10-04-2023 23:24,146,On-time,1417,Business,Economy,6.5,10,0,0
F625,Anand Vihar–Kamakhya Express  ,01-07-2025 17:40,190,On-time,1633,Business,Economy,8,2,0,0
F1145,Katihar–Amritsar Express  ,6/17/2024 12:36,352,On-time,1367,Emergency,Economy,9,1,0,0
F1738,Ranikhet Express  ,9/14/2024 21:26,251,On-time,1310,Family,Economy,7.4,10,0,0
F803,Purushottam Express  ,2/26/2024 9:42,220,On-time,802,Emergency,Premium Economy,7.1,19,0,0
F463,Brahmaputra Mail  ,07-01-2023 19:41,92,On-time,1642,Emergency,Business,9.8,10,0,0
F1354,Kalindi Express  ,5/21/2024 8:34,232,On-time,1093,Business,Economy,10,4,1,0
F446,Farakka Express,1/18/2024 22:19,145,On-time,822,Family,Premium Economy,7.5,11,0,1
F1832,Sushasan Express  ,05-06-2024 08:51,155,On-time,1093,Business,Economy,7.2,4,0,1
F1253,NDLS–LKO AC SF Express  ,4/19/2024 8:34,138,On-time,1446,Family,Economy,6.2,3,1,0
F142,Anand Vihar–Kamakhya Express  ,11/22/2023 1:51,209,On-time,1166,Family,Economy,5.3,11,0,0
F1301,Katihar–Amritsar Express  ,9/30/2024 1:49,162,On-time,1354,Business,Economy,6.6,4,0,0
F1875,Ranikhet Express  ,7/16/2023 1:19,229,Delayed,1365,Emergency,Economy,5.3,3,1,0
F1804,Purushottam Express  ,04-05-2024 23:03,151,On-time,1509,Emergency,Business,5.4,33,0,0
F1808,Brahmaputra Mail  ,03-07-2024 01:59,120,Delayed,739,Leisure,Economy,8.5,15,0,0
F1584,Sushasan Express  ,11-08-2023 18:51,265,On-time,1538,Emergency,Economy,5.4,20,0,0
F1759,NDLS–LKO AC SF Express  ,10-04-2024 03:11,215,On-time,1363,Emergency,Premium Economy,7.4,2,0,0
F1049,Anand Vihar–Kamakhya Express  ,01-11-2025 07:21,124,On-time,1425,Business,Economy,6.2,16,0,0
F720,Katihar–Amritsar Express  ,05-03-2024 18:48,223,On-time,1424,Leisure,Premium Economy,9.3,15,0,0
F850,Ranikhet Express  ,7/23/2024 13:25,264,Delayed,965,Emergency,Economy,7,12,0,1
F1363,Purushottam Express  ,09-05-2023 09:18,182,On-time,1416,Business,Premium Economy,7.8,7,0,0
F882,Brahmaputra Mail  ,01-04-2025 22:14,164,On-time,1058,Emergency,Economy,5.5,2,0,0
F901,Kalindi Express  ,1/18/2025 1:54,190,On-time,1254,Emergency,Premium Economy,7.3,4,0,0
F868,Farakka Express,04-06-2025 12:11,139,On-time,465,Family,Economy,7.7,15,0,0
F1473,Sushasan Express  ,11/17/2023 0:33,243,On-time,1173,Business,Economy,9.2,5,1,0
F1528,NDLS–LKO AC SF Express  ,12/29/2024 23:37,197,On-time,953,Family,Premium Economy,8.3,0,0,1
F437,Anand Vihar–Kamakhya Express  ,12-10-2023 05:57,165,Cancelled,1366,Business,Economy,5,14,0,0
F1678,Katihar–Amritsar Express  ,04-03-2025 19:50,139,On-time,897,Emergency,Premium Economy,7.1,9,0,0
F1026,Ranikhet Express  ,10-12-2023 16:40,249,On-time,1224,Leisure,Economy,3.9,12,0,0
F951,Purushottam Express  ,8/16/2024 10:24,118,On-time,1182,Family,Economy,6.9,5,0,0
F579,Brahmaputra Mail  ,01-09-2024 01:35,216,On-time,975,Business,Economy,8.7,8,0,1
F433,Sushasan Express  ,4/23/2023 7:18,137,On-time,1140,Business,Premium Economy,9.1,2,0,0
F1883,NDLS–LKO AC SF Express  ,2/27/2025 12:58,264,On-time,1085,Leisure,Economy,6,4,0,1
F402,Anand Vihar–Kamakhya Express  ,9/30/2023 16:15,242,On-time,1539,Emergency,Economy,6.3,26,0,0
F1794,Katihar–Amritsar Express  ,8/23/2024 5:25,132,On-time,1554,Leisure,Economy,6.7,34,1,0
F1526,Ranikhet Express  ,5/19/2024 22:05,267,On-time,1214,Leisure,Economy,7.1,7,0,0
F937,Purushottam Express  ,06-03-2023 02:21,194,Delayed,983,Family,Premium Economy,8.6,5,0,0
F1881,Brahmaputra Mail  ,12/29/2023 0:24,121,On-time,1236,Family,Premium Economy,6.6,3,0,0
F667,Kalindi Express  ,8/20/2023 13:49,86,On-time,1526,Family,Economy,4.9,6,0,0
F1798,Farakka Express,05-12-2023 17:54,336,Cancelled,954,Family,Economy,4.7,6,0,0
F94,Sushasan Express  ,07-07-2024 10:52,109,On-time,1680,Family,Economy,5.2,13,0,1
F1159,NDLS–LKO AC SF Express  ,8/13/2023 2:48,332,Cancelled,1298,Business,Business,6.7,4,0,0
F1326,Anand Vihar–Kamakhya Express  ,03-07-2024 05:18,105,On-time,1508,Leisure,Economy,7.4,6,0,0
F411,Katihar–Amritsar Express  ,10-08-2024 15:13,167,On-time,1142,Leisure,Economy,6.1,2,0,0
F548,Ranikhet Express  ,03-08-2024 17:33,187,On-time,1035,Business,Economy,7,0,0,1
F1292,Purushottam Express  ,11/21/2024 15:24,176,Delayed,1741,Business,Economy,6,2,0,0
F962,Brahmaputra Mail  ,11-04-2024 18:52,-17,On-time,827,Business,Economy,8.2,25,0,0
F146,Sushasan Express  ,10-04-2024 11:40,291,On-time,1416,Business,Economy,9.8,9,0,0
F199,NDLS–LKO AC SF Express  ,01-08-2025 06:01,197,Cancelled,611,Leisure,Economy,9.4,17,0,0
F1103,Anand Vihar–Kamakhya Express  ,01-01-2024 19:40,173,On-time,1096,Business,Economy,7.7,16,0,0
F689,Katihar–Amritsar Express  ,5/24/2024 15:05,226,On-time,1008,Business,Business,9.5,1,0,0
F193,Ranikhet Express  ,2/22/2024 3:15,230,On-time,583,Business,Business,9.8,35,0,0
F919,Purushottam Express  ,06-03-2023 08:11,163,On-time,1440,Emergency,Economy,6,7,0,0
F339,Brahmaputra Mail  ,11/16/2024 6:08,220,On-time,1616,Business,Premium Economy,4.7,7,0,0
F1342,Kalindi Express  ,04-05-2025 02:19,221,On-time,1112,Emergency,Premium Economy,8.5,3,0,0
F1009,Farakka Express,2/20/2025 20:23,231,On-time,1112,Emergency,Economy,5.5,6,0,1
F1476,Sushasan Express  ,04-11-2024 09:03,213,On-time,689,Leisure,Premium Economy,7.2,7,0,0
F1772,NDLS–LKO AC SF Express  ,8/25/2024 15:14,89,On-time,1057,Emergency,Economy,5.7,27,1,0
F1813,Anand Vihar–Kamakhya Express  ,12-09-2024 22:12,160,On-time,1476,Emergency,Business,2.7,10,0,0
F13,Katihar–Amritsar Express  ,3/26/2024 22:27,147,On-time,1395,Family,Economy,6.5,23,0,1
F1826,Ranikhet Express  ,4/16/2025 10:07,140,On-time,1171,Business,Business,8.5,12,0,0
F1350,Purushottam Express  ,10-03-2023 18:06,235,On-time,1237,Business,Economy,8.6,5,0,0
F1086,Brahmaputra Mail  ,02-06-2024 15:28,158,On-time,1117,Emergency,First,6.6,10,0,0
F151,Sushasan Express  ,04-06-2025 20:09,198,On-time,838,Business,Business,6.4,20,0,0
F475,NDLS–LKO AC SF Express  ,06-11-2023 06:44,217,On-time,1208,Emergency,Economy,6.8,4,0,0
F1490,Anand Vihar–Kamakhya Express  ,10/26/2023 4:11,127,On-time,1171,Leisure,Economy,5.9,1,0,0
F260,Katihar–Amritsar Express  ,12-10-2023 07:37,131,On-time,1377,Family,Premium Economy,5.8,2,0,0
F1850,Ranikhet Express  ,3/27/2024 9:32,111,On-time,1813,Leisure,Economy,7,4,0,0
F1965,Purushottam Express  ,1/21/2024 21:41,302,On-time,1201,Business,Economy,8,11,0,0
F136,Brahmaputra Mail  ,7/21/2024 6:58,183,Delayed,812,Business,Economy,7.4,2,0,0
F606,Kalindi Express  ,8/29/2023 9:59,170,On-time,1210,Leisure,Economy,9.1,5,0,0
F1315,Farakka Express,02-10-2024 22:16,175,On-time,766,Leisure,Economy,8.7,3,0,0
F1358,Sushasan Express  ,3/27/2024 14:18,213,On-time,975,Emergency,Economy,7.2,22,0,0
F573,NDLS–LKO AC SF Express  ,11-01-2024 20:10,216,On-time,646,Family,Economy,7.4,11,0,0
F727,Anand Vihar–Kamakhya Express  ,12-01-2023 23:02,250,Cancelled,1666,Leisure,Economy,6.7,8,0,0
F221,Katihar–Amritsar Express  ,11-12-2023 04:14,255,Delayed,821,Leisure,Premium Economy,6,30,0,1
F419,Ranikhet Express  ,1/25/2025 20:27,331,On-time,1246,Business,Economy,6.3,27,0,0
F1463,Purushottam Express  ,8/22/2023 11:57,96,On-time,801,Business,Economy,5.5,20,0,1
F1014,Brahmaputra Mail  ,4/26/2023 15:18,87,On-time,1303,Business,Economy,7.2,2,0,0
F414,Sushasan Express  ,1/14/2024 0:50,381,On-time,1230,Family,Business,8.6,12,0,1
F1393,NDLS–LKO AC SF Express  ,01-07-2025 08:13,78,Delayed,979,Emergency,First,7.6,19,0,0
F1111,Anand Vihar–Kamakhya Express  ,10/18/2023 18:34,104,Delayed,497,Leisure,Economy,6.2,12,0,0
F1140,Katihar–Amritsar Express  ,12/17/2024 7:09,246,On-time,999,Leisure,First,7.7,30,0,0
F1103,Ranikhet Express  ,6/16/2024 15:56,160,On-time,1742,Emergency,Economy,9.3,16,0,0
F1314,Purushottam Express  ,12/18/2024 3:55,148,On-time,1735,Family,Premium Economy,8.6,8,0,1
F326,Brahmaputra Mail  ,04-06-2025 15:28,229,On-time,1006,Family,Premium Economy,6.6,1,0,0
F1706,Kalindi Express  ,1/21/2024 6:57,237,On-time,999,Leisure,Business,7.1,7,0,0
F1954,Farakka Express,12-10-2024 04:40,192,On-time,1126,Family,Premium Economy,6.1,5,0,0
F968,Sushasan Express  ,1/19/2024 18:30,126,On-time,830,Leisure,Economy,10,5,0,0
F424,NDLS–LKO AC SF Express  ,08-06-2024 16:30,162,Cancelled,799,Emergency,Premium Economy,4.2,7,0,0
F1144,Anand Vihar–Kamakhya Express  ,12/22/2023 17:06,97,On-time,1023,Emergency,Economy,5.8,1,0,0
F412,Katihar–Amritsar Express  ,12/30/2023 4:18,222,On-time,1499,Emergency,Economy,2.2,1,0,0
F1870,Ranikhet Express  ,1/16/2025 7:19,171,On-time,1197,Family,Business,8.2,2,0,0
F249,Purushottam Express  ,11/25/2024 1:06,133,Delayed,1434,Emergency,Economy,8,12,0,0
F1453,Brahmaputra Mail  ,1/16/2024 6:48,196,Delayed,1025,Family,Economy,6,11,0,1
F1927,Sushasan Express  ,03-02-2025 18:43,69,On-time,1630,Emergency,Premium Economy,3.2,4,0,0
F323,NDLS–LKO AC SF Express  ,5/26/2023 22:49,197,On-time,1226,Business,Economy,5.2,7,0,0
F1504,Anand Vihar–Kamakhya Express  ,8/13/2023 16:00,121,On-time,759,Leisure,Economy,5.2,4,0,0
F297,Katihar–Amritsar Express  ,4/19/2024 23:51,223,Delayed,968,Business,First,9,10,0,1
F811,Ranikhet Express  ,12/17/2024 3:44,152,Delayed,593,Leisure,Economy,6,2,0,0
F1038,Purushottam Express  ,7/18/2024 12:22,110,On-time,436,Emergency,Economy,8.2,6,0,0
F1180,Brahmaputra Mail  ,11-12-2024 22:50,100,On-time,1000,Emergency,Economy,5.7,2,0,0
F992,Kalindi Express  ,06-03-2023 04:48,259,Delayed,1034,Business,Economy,6.2,5,0,0
F1321,Farakka Express,09-07-2024 16:07,176,Delayed,1009,Family,Economy,4.3,1,0,0
F863,Sushasan Express  ,8/16/2024 18:53,223,On-time,1424,Business,Economy,9.4,18,0,0
F1478,NDLS–LKO AC SF Express  ,03-12-2024 10:06,222,Delayed,1047,Family,First,8.7,0,0,0
F1558,Anand Vihar–Kamakhya Express  ,11/18/2024 3:53,190,Delayed,1254,Leisure,Economy,6.1,8,0,0
F860,Katihar–Amritsar Express  ,06-01-2024 20:31,230,On-time,469,Business,Economy,5.5,12,0,0
F1916,Ranikhet Express  ,1/25/2024 9:25,181,On-time,1287,Leisure,Economy,5.6,51,0,0
F1161,Purushottam Express  ,03-03-2024 19:07,179,Delayed,1516,Family,Business,9.9,8,0,0
F862,Brahmaputra Mail  ,05-08-2023 01:37,137,On-time,808,Emergency,Economy,8.3,15,0,1
F1264,Sushasan Express  ,1/16/2024 12:53,170,On-time,1267,Family,Economy,8.7,9,1,0
F1643,NDLS–LKO AC SF Express  ,1/15/2024 12:38,155,On-time,870,Family,Business,5,14,0,0
F1625,Anand Vihar–Kamakhya Express  ,4/19/2025 23:58,269,On-time,1352,Emergency,Business,6.3,21,0,0
F220,Katihar–Amritsar Express  ,9/23/2023 15:37,76,Cancelled,1409,Business,Economy,6,9,0,0
F1892,Ranikhet Express  ,8/25/2023 9:53,323,On-time,1473,Family,Economy,7.3,3,1,0
F1098,Purushottam Express  ,10/18/2023 11:26,172,On-time,1422,Emergency,Premium Economy,8,8,0,0
F869,Brahmaputra Mail  ,9/25/2023 2:22,287,On-time,1357,Business,Economy,6,3,0,0
